id,title,location,salary_min,category,description,created
5685699772,Strategy and Operations Consultant,México,2461,IT Jobs,"Strategy and Operations Consultant Salary range: 25-40k MXN gross monthly Department: S&O Application Instructions﻿ To apply, please submit the following: · Resume (in English) About Impact Advisors Mexico At Impact Advisors Mexico , we turn passion for healthcare into lasting careers. As part of the Impact Advisors network in the U.S., we partner with leading hospitals and healthcare organizations to enhance clinical, financial, and operational outcomes. Our culture is people-first, inclusive,…",2026-04-01T08:41:14Z
5685700424,Customer Service Representative,"Ciudad de México, México, México",2067,IT Jobs,"Role: Bilingual Customer Service Agent Location: AZCAPOTZALCO- Mexico City, Mexico (ONSITE) Job Summary This is a full-time on-site role for a Customer Service Representative in Azcapotzalco, CMX. The Customer Service Representative will be responsible for handling customer inquiries, resolving issues, providing outstanding customer support, and ensuring customer satisfaction on a day-today basis. Qualifications • High School diploma completed . • Advanced English level (B2 and above). • 1 year…",2026-04-01T08:41:24Z
5685695609,Gerente financiero,"Ciudad de México, México, México",938,IT Jobs,"Importante empresa líder en su sector busca incorporar a un/a Gerente Financiero que será responsable de la gestión integral del área financiera, asegurando el control, análisis y correcta ejecución de los procesos financieros y contables, así como la coordinación efectiva con otras áreas de la organización. Responsabilidades principales Gestionar la operación diaria del área financiera, incluyendo tesorería, cuentas por pagar, cuentas por cobrar, crédito y cobranza. Supervisar y controlar la r…",2026-04-01T08:40:44Z
5688189935,"Senior Solution Consultant, Telecom Process Transformation — Spanish & English Required",México,1753,IT Jobs,"About SimplyAsk.ai SimplyAsk.ai is a growing software company helping organizations modernize their digital operations and deploy practical AI solutions. Headquartered in Vancouver with over 80 employees and more than a decade of enterprise delivery experience, we serve telecom companies, media organizations, and governments across North America and Latin America. Alongside our enterprise consulting services, we develop Symphona — our no-code AI business efficiency platform. Learn more at www.s…",2026-04-02T20:55:13Z
5685700756,Technical Lead,México,1247,IT Jobs,"Project Description: The Anaplan Technical Lead is an experienced multi-skilled professional with hands-on experience in Anaplan model development/Support experience. He/she is a good team player who is part of a team responsible for delivering end-to-end application development and Operations Support. Responsibilities: • Troubleshoot and provide solutions, Root Cause Analysis for incidents raised by business users/L1 team. • Troubleshoot issues related to application access, process, scripts, …",2026-04-01T08:41:28Z
5688189800,Líder de proyecto TI- Aseguradora,México,975,IT Jobs,"Resumen del puesto: El Líder de Proyecto será responsable de la gestión integral de la implementación de una solución de beneficios flexibles, asegurando la integración con ecosistemas digitales, plataformas especializadas y sistemas relacionados. Deberá coordinar equipos multidisciplinarios, gestionar tiempos, riesgos y recursos, y garantizar la satisfacción del cliente y el cumplimiento de objetivos. Responsabilidades y atribuciones: Planificar, coordinar y supervisar todas las etapas del pro…",2026-04-02T20:54:26Z
5680399413,Desenvolvedor (a) Fullstack SR,"Osasco, Estado de São Paulo, Brasil",1801,IT Jobs,"Estamos em busca de um (a) Desenvolvedor (a) para atuação em um projeto estratégico com desenvolvimento de soluções modernas, utilizando arquitetura baseada em microserviços, cloud e práticas ágeis. Ambiente dinâmico, com foco em inovação, escalabilidade e qualidade de software Contratação CLT Jornada: Remota Responsabilidades Desenvolvimento de aplicações backend (Java) e frontend (Angular) Construção de APIs e microserviços Atuação em ambientes cloud e arquiteturas escaláveis Participação em …",2026-03-27T13:07:35Z
5670657074,Prospectador e Qualificador de Negócios B2B (Inbound  Outbound),"Santo André, Estado de São Paulo, Brasil",2311,IT Jobs,"Sobre a CADWORKS Com mais de 25 anos de atuação, a CADWORKS é parceira oficial da Dassault Systèmes no Brasil e SolidCAM Brasil, oferecendo soluções como SOLIDWORKS, 3DEXPERIENCE, Simulation, PDM e SolidCAM para a indústria. Atuamos apoiando empresas de engenharia e manufatura no desenvolvimento de produtos com mais eficiência, inovação e competitividade. Nosso propósito é unir tradição e tecnologia para inovar , construindo relações duradouras com nossos clientes e parceiros. Sobre a posição E…",2026-03-18T08:54:40Z
5688779209,Product Owner Especialista - CLT (Híbrido 2x),"Barueri, Estado de São Paulo, Brasil",818,IT Jobs,"Vaga: Product Owner Especialista (Oracle Retail) Modelo de contratação: CLT Local: Barueri/SP Formato: Híbrido (2x por semana no escritório) Sobre a posição Estamos em busca de um(a) Product Owner Especialista com experiência em ambientes complexos e atuação em projetos envolvendo Oracle Retail. O profissional será responsável por liderar iniciativas estratégicas, incluindo upgrades de versão, migração para a nuvem e integração de sistemas, atuando de forma próxima às áreas de negócio, tecnolog…",2026-04-03T12:02:26Z
5675091569,Desenvolvedor full stack,Brasil,2488,IT Jobs,"Responsabilidades e atribuições Atuar na criação de aplicações web modernas utilizando React, seja desenvolvendo do zero ou convertendo protótipos em soluções funcionais. Desenvolver APIs backend para disponibilização de dados provenientes de análises realizadas por times de dados e modelos de machine learning. Desenvolver aplicações web escaláveis e responsivas utilizando React e JavaScript; Criar e manter APIs RESTful em backend para integração com sistemas de dados e modelos de machine learn…",2026-03-22T06:13:09Z
5678808809,Analista RM - TOTVS,Brasil,1326,IT Jobs,"Você é apaixonado por tecnologia, tem domínio do sistema TOTVS RM e entende as necessidades das áreas Financeira, Contábil, Fiscal e de Recursos Humanos ? Estamos buscando um(a) Analista Backoffice RM – TOTVS para fazer parte da nossa equipe de tecnologia, com atuação estratégica na sustentação, evolução e integração dos módulos Backoffice e RH. Responsabilidades e atribuições: Atendimento de chamados e apoio técnico aos usuários das áreas financeira, fiscal, contábil e RH (BackOffice e folha d…",2026-03-26T00:46:37Z
5661838941,Vendas internas,"Curitiba, Paraná, Brasil",1484,IT Jobs,"Modelo de trabalho: Presencial – Curitiba/PR Tipo de vaga: Substituição (assume carteira)  novos leads inbound Salário: A combinar Comissão: 1,5% sobre as vendas realizadas Sobre a Wetalk.it A Wetalk.it é uma empresa B2B de tecnologia especializada em soluções de colaboração e comunicação corporativa, com portfólio que inclui videoconferência, telefonia corporativa, áudio e vídeo (AV) corporativo, videowall/painéis de LED, dispositivos pessoais e agendamento de espaços, integrando plataformas c…",2026-03-11T16:33:19Z
